('011001000', '000100101'): 4
('011010000', '000100101'): 8
('100001010', '000100101'): 4
('100010010', '000100101'): 6
('100011000', '000100101'): 6
('101000010', '000100101'): 4
('101001000', '000100101'): 4
('101010000', '000100101'): 1
('110000010', '000100101'): 6
('110001000', '000100101'): 1
('110010000', '000100101'): 6
('111000000', '000100101'): 4
('000011001', '000100110'): 8
('001001001', '000100110'): 4
('001010001', '000100110'): 8
('001011000', '000100110'): 8
('010001001', '000100110'): 4
('010010001', '000100110'): 6
('010011000', '000100110'): 0
('011000001', '000100110'): 4
('011001000', '000100110'): 4
('011010000', '000100110'): 0
('100001001', '000100110'): 4
('100010001', '000100110'): 6
('100011000', '000100110'): 0
('101000001', '000100110'): 4
('101001000', '000100110'): 4
('101010000', '000100110'): 0
('110000001', '000100110'): 4
('110001000', '000100110'): 0
('110010000', '000100110'): 3
('111000000', '000100110'): 4
('011011000', '000100111'): None
('101011000', '000100111'): None
('110011000', '000100111'): None
('111001000', '000100111'): None
('111010000', '000100111'): None
('000000011', '000101000'): 8
('000000101', '000101000'): 8
('000000110', '000101000'): 8
('000010001', '000101000'): 8
('000010010', '000101000'): 8
('000010100', '000101000'): 8
('001000001', '000101000'): 8
('001000010', '000101000'): 8
('001000100', '000101000'): 8
('001010000', '000101000'): 8
('010000001', '000101000'): 6
('010000010', '000101000'): 6
('010000100', '000101000'): 6
('010010000', '000101000'): 6
('011000000', '000101000'): 4
('100000001', '000101000'): 7
('100000010', '000101000'): 7
('100000100', '000101000'): 7
('100010000', '000101000'): 7
('101000000', '000101000'): 7
('110000000', '000101000'): 1
('000010110', '000101001'): 8
('001000110', '000101001'): 4
('001010010', '000101001'): 8
('001010100', '000101001'): 8
('010000110', '000101001'): 8
('010010010', '000101001'): 2
('010010100', '000101001'): 6
('011000010', '000101001'): 4
('011000100', '000101001'): 4
('011010000', '000101001'): 2
('100000110', '000101001'): 4
('100010010', '000101001'): 2
('100010100', '000101001'): 6
('101000010', '000101001'): 4
('101000100', '000101001'): 4
('101010000', '000101001'): 2
('110000010', '000101001'): 6
('110000100', '000101001'): 1
('110010000', '000101001'): 6
('111000000', '000101001'): 4
('000010101', '000101010'): 8
('001000101', '000101010'): 4
('001010001', '000101010'): 8
('001010100', '000101010'): 8
('010000101', '000101010'): 4
('010010001', '000101010'): 2
('010010100', '000101010'): 0
('011000001', '000101010'): 4
('011000100', '000101010'): 4
('011010000', '000101010'): 0
('100000101', '000101010'): 4
('100010001', '000101010'): 2
('100010100', '000101010'): 0
('101000001', '000101010'): 4
('101000100', '000101010'): 4
('101010000', '000101010'): 0
('110000001', '000101010'): 6
('110000100', '000101010'): 6
('110010000', '000101010'): 2
('111000000', '000101010'): 4
('011010100', '000101011'): None
('101010100', '000101011'): None
('110010100', '000101011'): 6
('111000100', '000101011'): None
('111010000', '000101011'): None
('000010011', '000101100'): 8
('001000011', '000101100'): 4
('001010001', '000101100'): 8
('001010010', '000101100'): 8
('010000011', '000101100'): 4
('010010001', '000101100'): 6
('010010010', '000101100'): 0
('011000001', '000101100'): 4
('011000010', '000101100'): 4
